2018-04-30 13:36:55,792  INFO | Starting SpringBootTestApplication on vitzrobisrnd-PC with PID 23488 (D:\_Develope\_Sources\_Github\VitzroProject\VitzroProject\target\classes started by SMK in D:\_Develope\_Sources\_Github\VitzroProject\VitzroProject) | c.v.SpringBootTestApplication 
2018-04-30 13:36:55,798 DEBUG | Running with Spring Boot v2.0.1.RELEASE, Spring v5.0.5.RELEASE | c.v.SpringBootTestApplication 
2018-04-30 13:36:55,799  INFO | No active profile set, falling back to default profiles: default | c.v.SpringBootTestApplication 
2018-04-30 13:38:27,072  INFO | Starting SpringBootTestApplication on vitzrobisrnd-PC with PID 18000 (D:\_Develope\_Sources\_Github\VitzroProject\VitzroProject\target\classes started by SMK in D:\_Develope\_Sources\_Github\VitzroProject\VitzroProject) | c.v.SpringBootTestApplication 
2018-04-30 13:38:27,079 DEBUG | Running with Spring Boot v2.0.1.RELEASE, Spring v5.0.5.RELEASE | c.v.SpringBootTestApplication 
2018-04-30 13:38:27,079  INFO | No active profile set, falling back to default profiles: default | c.v.SpringBootTestApplication 
2018-04-30 13:39:51,824  INFO | Starting SpringBootTestApplication on vitzrobisrnd-PC with PID 20684 (D:\_Develope\_Sources\_Github\VitzroProject\VitzroProject\target\classes started by SMK in D:\_Develope\_Sources\_Github\VitzroProject\VitzroProject) | c.v.SpringBootTestApplication 
2018-04-30 13:39:51,830 DEBUG | Running with Spring Boot v2.0.1.RELEASE, Spring v5.0.5.RELEASE | c.v.SpringBootTestApplication 
2018-04-30 13:39:51,831  INFO | No active profile set, falling back to default profiles: default | c.v.SpringBootTestApplication 
2018-04-30 13:39:59,630  INFO | Starting SpringBootTestApplication on vitzrobisrnd-PC with PID 24424 (D:\_Develope\_Sources\_Github\VitzroProject\VitzroProject\target\classes started by SMK in D:\_Develope\_Sources\_Github\VitzroProject\VitzroProject) | c.v.SpringBootTestApplication 
2018-04-30 13:39:59,637 DEBUG | Running with Spring Boot v2.0.1.RELEASE, Spring v5.0.5.RELEASE | c.v.SpringBootTestApplication 
2018-04-30 13:39:59,638  INFO | No active profile set, falling back to default profiles: default | c.v.SpringBootTestApplication 
2018-04-30 13:43:01,631  INFO | Starting SpringBootTestApplication on vitzrobisrnd-PC with PID 1464 (D:\_Develope\_Sources\_Github\VitzroProject\VitzroProject\target\classes started by SMK in D:\_Develope\_Sources\_Github\VitzroProject\VitzroProject) | c.v.SpringBootTestApplication 
